0.208618 0.000101 0.011669 0.196848 1 512
0.221124 0.000101 0.012997 0.208026 1 512
0.208642 0.000100 0.010637 0.197905 1 512
0.248741 0.000102 0.013113 0.235526 1 512
0.233353 0.000037 0.004309 0.229007 1 512
7.293699 0.000102 0.027167 7.266430 1 1024
7.354401 0.000102 0.026850 7.327449 1 1024
7.229141 0.000105 0.033396 7.195640 1 1024
7.292666 0.000099 0.035751 7.256816 1 1024
7.402105 0.000102 0.035704 7.366299 1 1024
73.830525 0.000101 0.080960 73.749464 1 2048
74.421281 0.000102 0.087666 74.333513 1 2048
74.201489 0.000104 0.084098 74.117287 1 2048
74.022145 0.000103 0.084258 73.937784 1 2048
75.676207 0.000104 0.082823 75.593280 1 2048
716.723331 0.000103 0.293415 716.429813 1 4096
723.711919 0.000102 0.295350 723.416467 1 4096
813.470004 0.000098 0.288326 813.181580 1 4096
808.194293 0.000098 0.289826 807.904369 1 4096
804.578761 0.000096 0.295203 804.283462 1 4096
0.265593 0.000111 0.104432 0.161050 2 512
0.265329 0.000110 0.104696 0.160523 2 512
0.265624 0.000109 0.104526 0.160989 2 512
0.263560 0.000039 0.102290 0.161231 2 512
0.262563 0.000040 0.101599 0.160924 2 512
4.230591 0.000110 0.423016 3.807465 2 1024
4.231664 0.000109 0.404558 3.826997 2 1024
4.151264 0.000112 0.391188 3.759964 2 1024
4.220517 0.000110 0.408154 3.812253 2 1024
4.253406 0.000110 0.415511 3.837785 2 1024
41.604884 0.000111 1.644940 39.959833 2 2048
41.106708 0.000110 1.723636 39.382962 2 2048
40.746158 0.000112 1.668194 39.077852 2 2048
42.172984 0.000111 1.663145 40.509728 2 2048
40.988916 0.000106 1.583750 39.405060 2 2048
383.577155 0.000106 6.787708 376.789341 2 4096
380.978904 0.000111 6.666206 374.312587 2 4096
383.309544 0.000105 6.663903 376.645536 2 4096
390.913182 0.000140 6.634430 384.278612 2 4096
383.883057 0.000111 6.532197 377.350749 2 4096
0.504389 0.000110 0.383822 0.120457 3 512
0.295994 0.000040 0.150951 0.145003 3 512
0.267712 0.000039 0.157057 0.110616 3 512
0.264491 0.000040 0.153036 0.111415 3 512
0.263374 0.000038 0.152188 0.111148 3 512
3.113742 0.000042 0.562125 2.551575 3 1024
3.175035 0.000040 0.605354 2.569641 3 1024
3.116514 0.000110 0.556361 2.560043 3 1024
3.195181 0.000038 0.625726 2.569417 3 1024
3.197081 0.000039 0.618720 2.578322 3 1024
29.669283 0.000109 2.449484 27.219690 3 2048
29.524974 0.000039 2.390249 27.134686 3 2048
29.419211 0.000040 2.360917 27.058254 3 2048
29.541936 0.000040 2.397603 27.144293 3 2048
30.116803 0.000038 3.042001 27.074764 3 2048
280.765274 0.000048 9.588963 271.176263 3 4096
284.370656 0.000040 9.951314 274.419302 3 4096
285.281581 0.000111 9.311640 275.969830 3 4096
282.612221 0.000112 9.652672 272.959437 3 4096
283.784067 0.000111 9.764190 274.019766 3 4096
0.240863 0.000110 0.121779 0.118974 4 512
0.209038 0.000040 0.119817 0.089181 4 512
0.189679 0.000041 0.106818 0.082820 4 512
0.204638 0.000041 0.121861 0.082736 4 512
0.225953 0.000039 0.136763 0.089151 4 512
2.427117 0.000042 0.479814 1.947261 4 1024
2.400532 0.000106 0.477555 1.922871 4 1024
2.385231 0.000040 0.456230 1.928961 4 1024
2.397452 0.000065 0.494909 1.902478 4 1024
2.410270 0.000040 0.497981 1.912249 4 1024
23.039451 0.000049 2.234609 20.804793 4 2048
22.766703 0.000042 1.959597 20.807064 4 2048
22.695848 0.000041 1.887115 20.808692 4 2048
23.119011 0.000050 2.321810 20.797151 4 2048
22.671210 0.000111 1.896324 20.774775 4 2048
224.985747 0.000040 7.746195 217.239512 4 4096
229.487390 0.000113 7.765113 221.722164 4 4096
229.829654 0.000114 7.516482 222.313058 4 4096
229.691547 0.000111 7.772655 221.918781 4 4096
223.233103 0.000110 8.636185 214.596808 4 4096
0.337476 0.000111 0.116896 0.220469 5 512
0.259464 0.000114 0.115385 0.143965 5 512
0.336416 0.000110 0.115372 0.220934 5 512
0.259306 0.000107 0.121970 0.137229 5 512
0.264623 0.000106 0.123139 0.141378 5 512
2.786616 0.000110 0.469974 2.316532 5 1024
2.805285 0.000111 0.480245 2.324929 5 1024
2.776355 0.000110 0.453087 2.323158 5 1024
2.772173 0.000039 0.461129 2.311005 5 1024
2.816884 0.000111 0.473503 2.343270 5 1024
26.784902 0.000169 1.890841 24.893892 5 2048
26.845042 0.000162 1.857481 24.987399 5 2048
26.575426 0.000111 1.813333 24.761982 5 2048
27.788834 0.000113 1.737450 26.051271 5 2048
26.934167 0.000109 1.766714 25.167344 5 2048
261.013866 0.000106 7.442788 253.570972 5 4096
260.838918 0.000107 7.323822 253.514989 5 4096
258.641460 0.000110 7.303202 251.338148 5 4096
259.861918 0.000106 7.268354 252.593458 5 4096
237.033921 0.000112 7.324380 229.709429 5 4096
0.261539 0.000105 0.127332 0.134102 6 512
0.357157 0.000041 0.127820 0.229296 6 512
0.282308 0.000072 0.126470 0.155766 6 512
0.288665 0.000063 0.130949 0.157653 6 512
0.435954 0.000040 0.128397 0.307517 6 512
2.467851 0.000088 0.506951 1.960812 6 1024
2.460652 0.000112 0.520470 1.940070 6 1024
2.451125 0.000112 0.510810 1.940203 6 1024
2.436373 0.000110 0.477075 1.959188 6 1024
2.466154 0.000111 0.528925 1.937118 6 1024
23.888675 0.000110 1.991448 21.897117 6 2048
25.461825 0.000106 1.915303 23.546416 6 2048
23.927654 0.000111 2.034624 21.892919 6 2048
