#total_s init_s   gen_s    mult_s   cores mat_size
2.564208 0.000042 0.587855 1.976311 7 1024
2.684238 0.000112 0.553764 2.130362 7 1024
24.202126 0.000110 2.325155 21.876861 7 2048
23.424662 0.000109 2.320224 21.104329 7 2048
23.018848 0.000111 2.020031 20.998706 7 2048
24.517571 0.000049 2.292656 22.224866 7 2048
27.526739 0.000039 5.839534 21.687166 7 2048
228.957231 0.000111 8.129281 220.827839 7 4096
233.261078 0.000110 9.284470 223.976498 7 4096
231.300152 0.000040 9.043786 222.256326 7 4096
234.141242 0.000112 9.368062 224.773068 7 4096
231.254358 0.000111 8.723718 222.530529 7 4096
0.376519 0.000040 0.138080 0.238399 8 512
0.374877 0.000038 0.138049 0.236790 8 512
0.377778 0.000040 0.142567 0.235171 8 512
0.375676 0.000043 0.139303 0.236330 8 512
0.379960 0.000043 0.143980 0.235937 8 512
2.448079 0.000110 0.495898 1.952071 8 1024
2.467748 0.000042 0.534718 1.932988 8 1024
2.496587 0.000055 0.560858 1.935674 8 1024
2.509166 0.000039 0.573664 1.935463 8 1024
2.486479 0.000113 0.562523 1.923843 8 1024
23.009035 0.000112 2.300510 20.708413 8 2048
21.574633 0.000111 2.200621 19.373901 8 2048
20.996316 0.000113 2.251458 18.744745 8 2048
21.641063 0.000112 2.244310 19.396641 8 2048
21.498175 0.000113 2.272304 19.225758 8 2048
224.772050 0.000112 9.098900 215.673038 8 4096
226.622632 0.000112 9.008552 217.613968 8 4096
224.770204 0.000110 9.100859 215.669235 8 4096
225.934416 0.000110 9.094506 216.839800 8 4096
222.015833 0.000107 9.090105 212.925621 8 4096
